Id Number, Age, State, Number of traps, 2018 Revenue,2019 Revenue
1141,77,1,400,15000,11653
1153,75,1,725,75748,53195
1166,70,1,600,23000,21230
1494,67,1,430,0,21732
121,54,1,600,90000,96191
1711,23,1,600,0,69779
1834,57,1,800,25000,31449
2147,44,1,800,130000,88781
2162,32,1,,0,53158
2307,68,1,500,0,5853
2702,78,1,400,27000,16708
2837,73,1,600,29749,33708
3059,71,1,800,0,43639
3119,18,1,800,47000,108376
3145,70,1,800,0,650
3461,45,1,800,149800,106343
3470,,1,,4800,2512
3588,48,1,800,88000,73437
3658,42,1,900,200000,172280
4105,50,1,800,0,97305
4182,47,1,400,0,63167
411,77,1,300,24000,259989
4556,30,1,800,422000,256012
4899,38,1,600,32000,47347
4934,67,1,1000,86000,100602
4990,87,1,800,63000,0
5045,63,1,800,40000,30244
5501,52,1,800,0,54389
5666,82,1,200,0,3043
5732,27,1,200,0,4527
5757,75,1,250,0,6524
5869,18,1,700,24000,0
6069,84,1,400,320000,16980
6347,48,1,,0,0
6863,53,1,800,16000,97079
644,68,1,160,0,18687
7295,42,1,800,19000,68260
7317,69,1,340,46000,39771
7336,,1,800,0,78543
7506,27,1,500,61000,7598
7705,74,1,200,3000,0
7711,90,1,200,0,7589
7784,80,1,440,0,45888
883,46,1,500,0,27277
8188,34,1,800,187000,120536
8343,42,1,800,30000,490
8632,48,1,480,54000,40269
8708,76,1,600,97000,0
9114,44,1,880,175000,136996
9139,29,1,500,0,97493
9259,67,1,350,0,398
9425,36,1,600,32000,26185
9494,53,1,800,80000,37398
10249,67,1,700,0,58710
1198,42,1,650,0,0
12917,55,1,400,15000,0
17113,60,1,600,45000,0
20081,50,1,800,50000,101775
70279,47,1,700,40000,34187
70536,63,1,550,0,11930
72864,47,1,,0,3960
98543,58,1,750,35000,0
98638,75,1,600,0,30467
99563,53,1,720,0,85029
29,63,1,350,8000,0
30,47,1,500,0,0
31,36,1,800,99000,0
1279,59,2,520,18000,0
2076,67,2,170,0,0
2288,73,2,300,25904,0
2355,40,2,450,20000,0
2729,60,2,513,39087,0
2773,39,2,880,0,0
5295,67,2,500,0,3232
598,57,2,300,0,0
105,56,3,500,0,0
211,54,3,800,15000,0
143,50,1,300,460000,0
161,21,1,250,20000,4669
757,63,1,100,1500,1621
804,70,1,600,15000,10054
805,,1,,5900,0
922,60,1,342,36000,20306
1125,18,1,445,0,50228
1312,42,1,600,85000,55981
1658,76,1,400,0,5235
151,74,1,300,18000,0
2032,64,1,100,28800,4983
2066,58,1,300,0,3134
2111,32,1,400,5500,4314
2948,45,1,600,45000,28554
3141,65,1,400,12000,11422
3150,70,1,400,6000,0
3158,36,1,800,108000,70612
3357,25,1,500,0,955
3614,19,1,50,0,0
3705,41,1,350,19000,12235
3739,,1,150,1500,26200
442,23,1,300,0,8515
4630,55,1,300,22000,15197
4874,63,1,750,465000,0
932,18,1,100,12500,16289
4962,54,1,135,31000,18507
5017,27,1,600,55000,208
5043,25,1,125,0,5860
5203,27,1,450,46000,6001
537,56,1,230,396000,8690
5516,18,1,300,12100,11319
5675,77,1,500,27000,55289
680,37,1,900,210000,134349
6886,53,1,400,0,0
6898,64,1,515,50000,45167
7383,44,1,400,0,18608
705,28,1,500,60000,198976
7754,,1,150,1500,70773
7981,65,1,200,0,25035
